*A18A0001|MARUTHI|1812|12.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0002|MARUTHI|1823|32.000000|1|0|52|1|1900|1|32.000000|2|0|1500$
*A18A0003|MARUTHI8000|1812|96.000000|1|1|2020|6|1960|1|55.000000|2|0|18000$
*A18A0002|MARUTHI|1812|32.000000|1|0|52|1|1900|1|32.000000|2|0|1500$
*A18A0001|MARUTHI|1812|63.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0003|MARUTHI8000|1812|96.000000|1|1|96|6|1960|1|55.000000|2|0|18000$
*A18A0001|MARUTHI|1812|12.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0001|MARUTHI|1812|12.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0001|SUSUKI|1812|12.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0002|HONDA|1812|32.000000|1|0|52|1|1900|1|32.000000|2|0|1500$
*A18A0002|HONDA|1812|32.000000|1|0|69|1|1900|1|32.000000|2|0|1500$
KA18A0001|BMW|1812|12.000000|0|0|52|1|1800|0|12.000000|2|0|1200$
*A18A0003|MARUTHI8000|1812|26.000000|1|1|96|6|1960|1|55.000000|2|0|18000$
*A18A0003|MARUTHI8000|1812|26.000000|1|1|96|6|1960|1|55.000000|2|0|18000$
KA18A0003|XUZMI|1812|26.000000|1|1|96|6|1960|1|55.000000|2|0|18000$
KA18A0002|HONDA|1812|32.000000|1|0|69|1|1812|1|32.000000|2|0|1500$
